ACTIVE U.S. SKI AREAS - 2024-25,,,,,,,,,,,
LOCATION,MOUNTAIN,"LIFT-
SERVED
VERTICAL
DROP 
(Feet)","LIFT-
SERVED
SKIABLE
ACRES","AVERAGE
ANNUAL
SNOWFALL 
(inches)",OWNER,"PASS 
AFFILIATIONS ","ANTICIPATE
OPERATING 
24/25?","OPERATED
23/24?","SURFACE
LIFTS
ONLY?","OPEN TO
PUBLIC?","SKIED 
(Admin 
use
only)"
,Cannon,"2,180",285,160,Independent,Indy,Yes,Yes,No,Yes,Yes
,Clancy (Cardigan Mtn School),60,,N/A,Independent,,Yes,Yes,Yes,No,No
,Cranmore,"1,200",170,120,Fairbank Group,"Ikon, Uphill New England",Yes,Yes,No,Yes,Yes
,Crotched,"1,016",100,65,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Dartmouth Skiway,968,104,100,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,No
,Granite Gorge,525,25,100,Independent,,Yes,Yes,No,Yes,Yes
,Gunstock,"1,400",227,120,Independent,,Yes,Yes,No,Yes,Yes
,Kanc Recreation Area,221,7,N/A,Independent,,Yes,Yes,Yes,Yes,Yes
,King Pine,350,45,82,Independent,"Indy Allied, Uphill New England",Yes,Yes,No,Yes,Yes
,Loon,"2,190",400,160,Boyne Resorts,"Ikon, New England Pass",Yes,Yes,No,Yes,Yes
,McIntyre,170,37,N/A,Independent,"Indy Allied, Freedom",Yes,Yes,No,Yes,Yes
,Mount Eustis,240,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Mount Sunapee,"1,510",233,130,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Norm Wright (Dublin School),100,,N/A,Independent,,Yes,Yes,Yes,No,No
,Pats Peak,770,115,100,Independent,Indy,Yes,Yes,No,Yes,Yes
,Proctor,436,,N/A,Independent,,Yes,Yes,Yes,No,No
,Ragged,"1,250",250,100,Pacific Group Resorts,Indy,Yes,Yes,No,Yes,Yes
,Red Hill,181,,N/A,Independent,,Yes,Yes,Yes,No,No
,Storrs Hill,300,20,N/A,Independent,,Yes,Yes,Yes,Yes,Yes
,Tenney,"1,400",110,N/A,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,Yes
